sample_id,strategy,min_parameter,confidence_before,confidence_after,confidence_drop,flipped
100 (10).jpg,B_noise_bright,,0.8326197266578674,,,False
100 (10).jpg,original,,0.8344229459762573,,,False
100 (2).jpg,A_blur,,0.82090824842453,,,False
100 (2).jpg,A_blur_freq,,0.8194325566291809,,,False
100 (2).jpg,B_noise,,0.8188524842262268,,,False
100 (2).jpg,B_noise_bright,,0.8147955536842346,,,False
100 (2).jpg,original,,0.82090824842453,,,False
100 (3).jpg,A_blur,,0.8311147093772888,,,False
100 (3).jpg,A_blur_freq,,0.8391439914703369,,,False
100 (3).jpg,B_noise,,0.8317120671272278,,,False
100 (3).jpg,B_noise_bright,,0.8354588747024536,,,False
100 (3).jpg,original,,0.8311147093772888,,,False
100 (4).jpg,A_blur,,0.763306736946106,,,False
100 (4).jpg,A_blur_freq,,0.8306444883346558,,,False
100 (4).jpg,B_noise,,0.7627146244049072,,,False
100 (4).jpg,B_noise_bright,,0.7626468539237976,,,False
100 (4).jpg,original,,0.763306736946106,,,False
100 (5).jpg,A_blur,,0.8411511778831482,,,False
100 (5).jpg,A_blur_freq,,0.845427393913269,,,False
100 (5).jpg,B_noise,,0.8417795300483704,,,False
100 (5).jpg,B_noise_bright,,0.8359740376472473,,,False
100 (5).jpg,original,,0.8411511778831482,,,False
100 (6).jpg,A_blur,,0.8134739995002747,,,False
100 (6).jpg,A_blur_freq,,0.8401583433151245,,,False
100 (6).jpg,B_noise,,0.8140201568603516,,,False
100 (6).jpg,B_noise_bright,,0.8105788230895996,,,False
100 (6).jpg,original,,0.8134739995002747,,,False
100 (7).jpg,A_blur,,0.8044164180755615,,,False
100 (7).jpg,A_blur_freq,,0.7701775431632996,,,False
100 (7).jpg,B_noise,,0.8089282512664795,,,False
100 (7).jpg,B_noise_bright,,0.8079236149787903,,,False
100 (7).jpg,original,,0.8044164180755615,,,False
100 (8).jpg,A_blur,,0.7467889189720154,,,False
100 (8).jpg,A_blur_freq,,0.8108315467834473,,,False
100 (8).jpg,B_noise,,0.7419811487197876,,,False
100 (8).jpg,B_noise_bright,,0.7355358004570007,,,False
100 (8).jpg,original,,0.7467889189720154,,,False
100 (9).jpg,A_blur,,0.807972252368927,,,False
100 (9).jpg,A_blur_freq,,0.806124746799469,,,False
100 (9).jpg,B_noise,,0.8082393407821655,,,False
100 (9).jpg,B_noise_bright,,0.8080445528030396,,,False
100 (9).jpg,original,,0.807972252368927,,,False
100.jpg,A_blur,,0.8488247990608215,,,False
100.jpg,A_blur_freq,,0.8336141705513,,,False
100.jpg,B_noise,,0.8489637970924377,,,False
100.jpg,B_noise_bright,,0.8471565246582031,,,False
100.jpg,original,,0.8488247990608215,,,False
101 (10).jpg,A_blur,,0.8024354577064514,,,False
101 (10).jpg,A_blur_freq,,0.8236438035964966,,,False
101 (10).jpg,B_noise,,0.80229651927948,,,False
101 (10).jpg,B_noise_bright,,0.8187106847763062,,,False
101 (10).jpg,original,,0.8024354577064514,,,False
101 (2).jpg,A_blur,,0.7785534262657166,,,False
101 (2).jpg,A_blur_freq,,0.8164986968040466,,,False
101 (2).jpg,B_noise,,0.7776406407356262,,,False
101 (2).jpg,B_noise_bright,,0.7661330699920654,,,False
